Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1;42;1;9500;1;1;3;1;37;1;9;4;2;1;0;0;1;0;0;23;0;20;26;27;26;15.07777777777778;0;14;17;17;17;15.023529411764704;0;3;3;0;Graduate
1;39;1;9085;1;1;1;1;37;37;6;6;0;0;0;0;1;0;1;25;0;0;6;13;3;11.666666666666666;0;0;6;14;2;11.333333333333334;0;1;1;3;Enrolled
1;1;1;9500;1;1;1;1;19;38;5;3;1;1;0;0;1;0;0;19;0;0;7;10;6;11.85;0;0;8;10;7;13.65;0;3;1;1;Graduate
1;1;1;9238;1;1;2;1;12;38;4;9;0;1;0;0;1;0;0;19;0;0;6;11;5;10.6;0;0;6;10;6;11.714285714285714;0;1;1;3;Dropout
1;39;1;9991;0;1;2;1;3;1;3;9;2;0;0;0;1;0;0;27;0;0;5;5;0;0.0;0;0;5;6;0;0.0;0;2;1;3;Dropout
1;17;2;9238;1;1;2;1;1;11;4;3;2;1;0;0;1;0;0;19;0;0;6;11;0;0.0;0;0;6;0;0;0.0;0;0;0;0;Dropout
1;1;1;9670;1;1;1;1;37;37;5;5;1;0;0;0;1;0;0;19;0;0;6;7;6;14.857142857142858;0;0;6;6;6;13.333333333333334;0;2;1;3;Graduate
1;44;1;9085;1;39;2;1;37;37;9;9;2;0;0;0;1;0;0;20;0;2;6;8;6;13.0;0;1;6;18;2;12.0;0;2;1;3;Enrolled
1;1;1;9070;1;1;1;1;38;37;3;6;2;1;0;0;1;0;1;19;0;0;6;9;5;12.0;0;0;6;10;2;11.333333333333334;0;0;2;3;Dropout
1;39;1;9003;1;1;2;41;1;1;9;9;0;0;0;1;0;0;0;29;1;3;9;9;3;14.333333333333334;0;1;7;8;1;14.0;0;3;3;0;Dropout
1;1;2;9773;1;1;2;1;1;1;9;9;2;1;0;0;1;0;1;19;0;0;6;7;6;13.5;0;0;6;7;6;14.428571428571429;0;3;1;1;Graduate
1;18;5;9853;1;1;0;1;19;37;7;7;0;1;0;0;1;0;0;20;0;0;6;10;4;12.75;0;0;6;14;3;11.333333333333334;0;1;2;2;Enrolled
1;1;4;171;1;1;2;1;1;38;4;8;2;1;0;0;1;1;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;1;1;3;Graduate
1;17;4;9254;1;1;0;1;37;19;9;7;1;1;0;0;1;0;0;20;0;0;6;7;6;11.5;0;0;6;8;5;12.4;0;1;1;3;Graduate
1;17;4;9147;1;1;1;1;19;19;5;7;1;1;0;1;1;0;1;18;0;0;5;5;5;11.6;0;0;5;5;5;11.8;0;1;1;3;Graduate
1;18;1;9556;1;1;2;1;3;19;2;8;0;1;0;0;1;1;0;21;0;0;7;8;7;12.375;0;0;7;11;5;12.583333333333334;0;0;2;3;Graduate
1;1;1;9130;1;1;1;1;2;3;9;1;1;0;0;0;1;1;0;19;0;0;5;14;2;11.5;2;0;5;8;5;11.4;3;0;0;0;Enrolled
1;17;4;9147;1;1;1;1;19;19;4;4;0;1;0;0;1;1;1;20;0;0;5;6;5;11.8;0;0;5;8;4;11.6;0;0;2;3;Graduate
1;1;1;9773;1;1;2;1;1;38;4;5;1;0;0;0;1;1;0;18;0;0;6;6;6;12.0;0;0;6;6;6;12.5;0;2;3;1;Graduate
4;39;1;9130;1;19;2;1;37;38;9;4;0;0;0;0;1;1;0;48;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;3;3;0;Dropout
1;1;1;9500;1;1;1;1;38;38;7;7;1;1;0;0;1;0;0;19;0;0;7;9;6;12.97166666666667;0;0;8;9;7;12.321428571428571;0;1;1;3;Graduate
1;1;1;171;1;1;2;1;19;19;5;1;2;1;0;0;1;0;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;3;0;2;Dropout
1;43;1;9147;1;1;1;1;37;37;5;3;1;0;0;0;1;1;0;22;0;0;5;9;3;13.0;0;0;5;9;3;11.666666666666666;0;2;3;1;Dropout
1;39;1;9991;0;1;0;1;37;37;9;9;1;0;0;0;0;1;0;36;0;0;5;5;0;0.0;0;0;5;5;0;0.0;0;2;3;1;Dropout
1;1;3;9500;1;1;2;1;38;38;5;7;2;1;0;0;1;0;1;18;0;0;8;11;7;12.90857142857143;0;0;8;11;7;12.90857142857143;0;1;2;2;Graduate
1;1;1;171;1;1;2;1;37;37;9;9;1;1;0;0;1;0;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0;3;2;Graduate
1;39;1;9991;0;1;1;1;1;1;3;7;2;0;0;0;1;1;0;26;0;0;5;5;5;12.4;0;0;5;5;5;12.4;0;3;3;0;Graduate
1;43;1;9853;1;1;1;1;3;37;2;5;0;1;0;0;1;0;0;21;0;0;6;10;3;12.666666666666666;0;0;6;12;3;10.0;0;0;0;0;Dropout
1;17;1;9147;1;1;1;1;19;19;3;3;1;0;0;0;1;0;0;20;0;0;5;11;3;10.333333333333334;0;0;5;10;3;10.666666666666666;0;2;1;3;Enrolled
1;17;1;9254;1;1;2;1;37;37;5;9;2;1;0;0;1;0;0;19;0;0;6;8;4;12.5;0;0;6;11;1;14.0;0;0;3;2;Dropout
1;17;3;9773;1;1;1;1;19;19;5;8;1;0;0;0;1;0;0;18;0;0;6;6;0;0.0;0;0;6;0;0;0.0;0;0;2;3;Dropout
1;1;1;9853;1;1;2;1;19;37;9;9;0;1;0;1;0;0;0;22;0;0;7;10;6;11.5;0;0;7;8;6;13.166666666666666;0;1;1;3;Enrolled
1;44;1;9085;1;39;2;1;1;19;4;4;2;0;0;0;1;0;0;21;0;2;6;9;6;13.142857142857142;0;0;6;9;6;12.166666666666666;0;3;0;2;Graduate
2;39;1;8014;0;1;2;1;37;37;6;8;0;0;0;1;1;0;0;37;0;3;8;12;7;11.375;0;2;7;10;6;12.166666666666666;0;3;0;2;Enrolled
1;39;2;9147;1;12;2;1;19;38;9;9;1;1;0;1;0;1;0;28;0;0;5;5;0;0.0;0;0;5;5;0;0.0;0;0;0;0;Dropout
1;39;1;9991;0;1;1;1;37;37;9;9;2;0;0;0;1;0;0;24;0;0;5;9;5;12.285714285714286;0;0;5;8;5;12.125;0;3;1;1;Enrolled
1;1;1;171;1;1;2;1;3;1;2;4;2;1;0;0;1;0;0;20;0;5;12;13;12;11.23076923076923;0;3;11;18;9;12.77777777777778;0;1;1;3;Graduate
1;1;1;9500;1;1;2;1;19;3;9;4;1;1;0;0;1;0;0;18;0;0;7;7;6;12.916666666666666;0;0;7;7;6;12.916666666666666;0;0;3;2;Graduate
2;39;1;9853;1;19;2;1;37;37;9;9;2;0;0;0;1;0;1;32;0;0;7;10;7;13.428571428571429;0;2;8;8;8;13.25;0;3;0;2;Graduate
2;39;1;9238;1;1;1;1;37;37;9;9;1;0;0;0;1;0;0;44;0;0;6;8;6;13.0;0;0;6;6;6;13.833333333333334;0;2;3;1;Graduate
1;42;1;9119;1;1;2;1;34;34;0;0;1;0;0;0;1;1;0;18;0;0;5;6;1;10.0;0;0;5;7;1;12.0;0;1;2;2;Dropout
1;1;3;9085;1;1;2;1;38;19;9;5;2;0;0;0;1;0;0;19;0;0;5;7;3;12.0;0;0;5;7;4;13.5;0;0;3;2;Enrolled
1;39;1;9991;0;1;2;1;37;37;9;9;2;0;0;0;1;1;0;35;0;0;5;5;0;0.0;0;0;5;5;0;0.0;0;1;1;3;Dropout
1;1;1;9556;1;1;2;1;1;1;1;1;2;0;0;0;1;1;1;21;0;0;7;14;5;11.2;0;0;8;11;6;11.583333333333334;0;3;1;1;Enrolled
1;1;1;9670;1;1;1;1;1;1;90;90;1;1;0;1;1;1;0;20;0;0;6;10;1;12.0;1;0;6;0;0;0.0;0;1;2;2;Dropout
1;1;1;9500;1;1;2;1;1;1;5;3;2;0;0;0;1;1;1;18;0;0;7;7;7;15.957142857142856;0;0;8;9;8;15.188888888888888;0;3;1;1;Graduate
1;39;1;9500;1;1;1;1;37;37;9;9;2;0;0;0;1;1;0;25;0;0;8;11;6;12.675;0;0;8;11;6;12.675;0;2;3;1;Graduate
1;17;4;9500;1;1;2;1;4;1;2;1;2;1;0;0;1;0;0;18;0;0;8;8;0;0.0;5;0;8;8;0;0.0;5;0;0;0;Enrolled
4;39;1;9773;1;38;2;1;19;19;7;9;2;0;0;0;1;0;0;40;0;0;6;8;5;13.0;0;0;6;7;5;12.6;0;3;1;1;Enrolled
2;43;1;9991;0;1;2;1;37;37;3;10;0;0;0;0;1;0;0;33;0;8;10;15;8;10.375;0;7;10;13;9;10.444444444444445;0;0;3;2;Enrolled
1;17;1;9670;1;1;2;1;19;37;9;8;1;1;0;0;1;1;0;22;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;3;0;2;Dropout
1;1;1;9238;1;1;1;1;19;38;5;6;1;0;0;0;1;0;1;22;0;0;6;10;5;10.714285714285714;0;0;6;10;5;12.2;0;2;3;1;Graduate
1;17;1;9500;1;1;2;1;38;37;5;9;2;1;0;0;1;0;1;18;0;0;8;8;7;14.962857142857144;0;0;8;8;7;14.962857142857144;0;1;2;2;Graduate
1;39;1;9003;1;19;2;1;37;37;9;10;1;0;0;1;0;1;0;38;0;0;6;8;0;0.0;0;0;6;10;0;0.0;0;3;1;1;Dropout
1;1;2;9085;1;1;2;1;4;19;2;5;3;1;0;0;1;0;0;18;0;0;5;8;5;16.166666666666668;2;0;5;9;5;14.285714285714286;1;0;0;0;Graduate
1;43;1;9500;1;1;1;1;3;4;2;4;1;0;0;0;1;1;0;18;0;0;7;12;4;12.65;0;0;7;10;3;10.666666666666666;0;3;1;1;Dropout
1;43;1;9500;1;1;1;1;1;19;9;8;0;1;0;0;1;0;0;20;0;0;7;8;7;13.1;0;0;8;8;8;14.8125;0;3;0;2;Graduate
1;44;1;9003;1;39;2;1;38;1;134;134;2;1;0;1;1;1;0;26;0;0;6;6;0;0.0;0;0;6;7;0;0.0;0;0;2;3;Enrolled
1;39;1;9991;0;1;2;1;38;37;9;9;2;0;0;0;1;1;0;27;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;1;2;2;Dropout
1;1;4;9070;1;1;3;1;3;3;2;2;3;1;0;0;1;1;0;18;0;0;6;7;6;14.5;0;0;6;6;6;15.166666666666666;0;0;0;0;Graduate
1;39;1;9130;1;1;1;1;1;38;9;9;2;0;0;0;1;1;0;25;0;0;6;6;0;0.0;0;0;6;6;0;0.0;0;2;1;3;Dropout
1;1;1;9254;1;1;1;1;38;38;6;6;1;1;0;0;1;0;0;18;0;0;6;6;6;10.666666666666666;0;0;6;6;6;11.5;0;0;3;2;Graduate
1;1;1;171;1;1;2;1;19;19;1;1;2;1;0;0;1;1;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;1;2;2;Dropout
1;17;5;9500;1;1;2;1;1;19;4;8;2;1;0;0;1;0;0;19;0;0;7;0;0;0.0;0;0;8;0;0;0.0;0;2;1;3;Dropout
1;17;5;9238;1;1;2;1;38;37;9;9;1;0;0;1;0;0;0;21;0;0;6;10;5;11.833333333333334;0;0;6;10;5;13.2;0;3;0;2;Dropout
1;39;1;9238;1;12;0;1;37;37;9;9;1;0;0;0;1;1;0;47;0;3;9;9;9;13.11111111111111;0;3;7;7;7;14.857142857142858;0;1;2;2;Graduate
1;1;4;9500;1;1;1;1;19;38;9;10;1;1;0;0;1;0;0;20;0;0;7;7;7;12.485714285714286;0;0;8;12;8;12.9375;0;3;1;1;Graduate
2;39;1;9254;1;19;2;1;37;19;9;10;2;0;0;0;1;1;0;53;0;7;11;12;2;15.0;7;4;9;10;3;10.0;4;3;1;1;Graduate
1;1;6;9500;1;1;2;1;3;1;2;1;2;1;0;0;1;1;0;18;0;0;8;10;8;13.05375;2;0;8;10;8;13.05375;2;0;0;0;Graduate
1;1;1;9500;1;1;1;1;2;19;3;9;1;0;0;0;1;1;0;23;0;0;7;7;6;13.483333333333334;0;0;7;7;6;13.483333333333334;0;0;3;2;Graduate
1;17;4;9500;1;1;2;1;3;1;2;5;2;1;0;0;1;0;0;18;0;0;7;7;7;13.457142857142856;0;0;8;8;8;15.125;0;3;0;2;Graduate
1;17;4;9119;1;1;1;1;19;19;5;5;1;1;0;1;0;1;0;18;0;0;5;12;0;0.0;0;0;5;8;0;0.0;0;0;0;0;Enrolled
1;1;1;9085;1;1;1;1;2;1;4;3;1;1;0;0;1;0;0;21;0;0;5;6;5;12.2;0;0;5;5;5;13.2;0;1;2;2;Graduate
1;7;1;171;1;3;1;1;1;2;9;2;2;0;0;0;0;1;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0;0;0;Dropout
1;17;1;9085;1;1;2;1;1;1;4;7;2;1;0;0;1;1;0;22;0;0;6;16;0;0.0;0;0;6;7;0;0.0;0;3;1;1;Dropout
1;1;1;9147;1;1;1;1;1;19;5;7;2;1;0;0;1;0;1;21;0;0;5;6;5;12.8;1;0;5;7;4;11.25;0;0;0;0;Graduate
1;1;1;9147;1;1;1;1;19;19;5;7;1;0;0;0;1;1;0;20;0;0;5;8;5;10.0;0;0;5;10;2;12.0;0;0;3;2;Enrolled
2;39;1;9147;1;1;2;1;37;37;9;9;2;1;0;0;1;0;0;31;0;0;5;8;3;11.0;0;0;5;9;2;11.5;0;0;3;2;Dropout
1;39;1;9500;1;1;2;1;38;3;9;1;2;0;0;0;1;1;0;24;0;0;7;11;7;11.294444444444444;0;0;8;22;2;12.6;0;3;3;0;Graduate
1;17;3;9670;1;1;1;1;1;38;3;3;1;1;0;0;1;0;0;18;0;0;6;8;6;13.875;0;0;6;7;6;13.714285714285714;0;1;1;3;Graduate
1;17;1;9670;1;1;2;1;1;19;8;7;2;1;0;0;1;0;0;19;0;0;6;6;6;14.833333333333334;0;0;6;8;6;13.285714285714286;0;0;2;3;Enrolled
1;1;2;9500;1;1;2;1;19;19;7;7;1;1;0;0;1;0;1;18;0;0;8;8;7;14.654285714285717;0;0;8;8;7;14.654285714285717;0;1;2;2;Graduate
1;39;1;9147;1;1;1;1;37;37;9;9;0;0;0;0;0;1;0;32;0;0;5;9;0;0.0;1;0;5;5;0;0.0;0;0;0;0;Dropout
1;44;1;171;1;39;2;1;19;1;9;9;2;1;0;0;1;1;0;21;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;2;1;3;Graduate
1;1;1;9670;1;1;1;1;1;1;9;10;1;1;0;0;1;0;1;20;0;0;6;6;6;14.166666666666666;0;0;6;9;6;13.0;0;0;2;3;Graduate
1;39;1;9119;1;3;1;1;1;38;90;90;2;0;0;0;1;1;0;29;0;0;3;3;0;0.0;3;0;5;0;0;0.0;0;1;2;2;Dropout
1;39;1;9003;1;1;2;1;19;37;9;7;0;1;0;0;1;1;0;31;0;0;6;8;0;0.0;0;0;6;10;0;0.0;0;3;1;1;Dropout
2;39;1;9003;1;1;0;1;1;3;4;2;3;0;0;1;0;1;0;49;0;4;12;16;5;11.6;0;2;7;7;5;11.2;0;0;2;3;Dropout
1;17;1;9238;1;1;0;1;19;37;7;9;0;0;0;0;1;0;0;20;0;0;6;6;0;0.0;0;0;5;5;0;0.0;0;0;2;3;Dropout
1;5;3;9070;1;1;2;1;3;1;9;6;2;1;0;0;1;0;0;18;0;0;6;6;6;12.666666666666666;0;0;6;8;6;14.125;0;1;2;2;Graduate
1;51;1;9147;1;1;0;1;3;1;3;3;0;1;0;1;0;0;0;22;0;0;5;8;0;0.0;0;0;5;7;0;0.0;0;0;2;3;Enrolled
1;17;5;9254;1;1;1;1;1;19;4;7;1;1;0;0;0;1;0;18;0;0;6;12;0;0.0;0;0;6;0;0;0.0;0;0;0;0;Dropout
